word,meaning,source,,word_type,gender,direct translation
ebodá,"ceramist, potter",blank,,person,,
ébre,then,blank,,grammar,,
ed,tool {orig},orig,,object,,
édáan,lexical gap [é+dáan] {Grammar Updates},new,,,,
edáanashon,poetics (the science of poetry) {orig},orig,,science,,
edáanelom,poetry {orig},orig,,,,
edala,botany [science of plants],blank,,science,,
edama,science of touch [e-=prefix for science of + dama=touch] {orig},orig,,science,,no
edan,linguistics [e=prefix for science of + dan=language] {orig},orig,,science,,
edaná,linguist [edan=linguistics + á=suffix for doer] {orig},orig,,person,,
edash,dentistry [e-=prefix for science of + dash=tooth],blank,,science,,
edashá,dentist [e-=prefix for science of + dash=tooth + -á=suffix for doer,blank,,person,,
ede,grain {orig},orig,,food,,
éde,nevertheless {orig},orig,,grammar,,
ededal,pasta [ede=grain + dal=thing] {orig},orig,,food,,
edeláad,"to believe, believe in [láad=to perceive] {orig}",orig,,,,
edeláada,believer,blank,,,,
edemath,grainery [ede=grain + math=building] {orig},orig,,place,,
edemezh,"flour, to flour [ede=grain + mezh=powder] {CH}",new,,food,,
edemid,mouse [ede=grain + mid=creature] {new},new,,animal,,
edenesh,savory (the herb) {SH},new,,food,,
edeni,bean {SH},new,,food,,
edethi,to share [ede+thi thi=to have] {orig},orig,,,,
edi,rhetoric [e-=prefix for science of + di=speak] {orig},orig,,science,,
edin,cousin {orig},orig,,relationship,,
eduth,engineering [e=prefix for science of + duth=to use] {orig},orig,,science,,
edutha,medicine [e-=prefix for science of + dutha=to heal] {orig},orig,,science,,
eduthá,engineer [eduth=engineering + -á=suffix for doer] {orig},orig,,person,,
eduthahá,"doctor, physician, healer [edutha=medicine + -á=suffix for doer] {orig}",orig,,person,,
eduthawehe,pharmacy [edutha=science of healing + wehe=store] {new},new,,place,,
eduthemid,beaver [eduth=engineering + mid=creature] {SH},new,,animal,,
éeb,"juice, sap {orig}",orig,,plant,,
éeba,portentous,blank,,,,
éebemaha,wetness caused by sexual desire [éeb=juice + (e)maha=desire(sexual)] {JP et al},new,,sex,,no
eéden,"formalism, scientific notation {orig}",orig,,science,,
eéle,terror {orig},orig,,neg emotion,,
éelen,grape {orig},orig,,food,,
éelenethil,grapevine [éelen=grape + (e)thil=vine],blank,,plant,,
éeme,love for one neither liked nor respected {orig},orig,,pos emotion,,no
éesh,sheep {orig},orig,,animal,,
éeya,"sickness, disease, illness {orig}",orig,,health,,
éezh,goat {orig},orig,,animal,,
éezha,lizard {CH},new,,animal,,
ehá,scientist [e-=prefix for science of + -á-suffix for doer] {orig},orig,,person,,
eháawith,child-science,blank,,science,,no
ehábed,science of farming; agriculture [e-=science of + (h)ábed=farm],blank,,science,,
ehana,nutrition [e-=prefix for science of + ana=food) {orig},orig,,science,,
ehash,astronomy [e-=prefix for science of + ash=star] {orig},orig,,science,,
ehath,chronography [e-=prefix for science of + hath=time] {orig},orig,,science,,
ehéeda,religion [e-=prefix for science of + héeda=sacred] {orig},orig,,"science, spirituality",,
ehen,philosophy [e-=prefix for science of + en=to understand] {orig},orig,,"science, spirituality",,
ehib,criminology,blank,,science,,
ehoba,anatomy [e-=prefix for science of + oba=body] {orig},orig,,body,,
ehod,textile science [e-=prefix for science of + od=cloth] {orig},orig,,science,,no
ehodá,textile scientist {orig},orig,,person,,no
ehohel,business (the science),blank,,science,,
éholhob,"particularly malicious threat, to threaten very maliciously [é- =potential + (h)olhob=(malicious) trauma; blow] {AB}",new,,neg emotion,,no
éholob,"threat, to threaten [é- =potential + (h)olob=trauma; blow] {AB}",new,,,,
ehom,education [e-=prefix for science of + om=to teach] {orig},orig,,science,,
ehoth,geography [e-=prefix for science of + hoth=place] {orig},orig,,science,,
ehoyu,audiology [e-=prefix for science of + oyu=ear] {orig},orig,,science,,
el,to make {orig},orig,,,,
elá,"creator, maker",blank,,spirituality,,
elahela,celebration [alehale=to make music] {orig},orig,,,,
elalimid,otter [ela+ili+mid] {SH},new,,animal,,
elamith,mathematics [e + lamith] {Grammar Updates: AH},new,,science,,
elash,to play {SH},new,,,,
elasháana,"to menstruate for the first time, menstruation [osháana=to menstruate ela+osháana] {orig}",orig,,sex,fem,
elashemid,squirrel [elash=play + (e)mid=creature] {SH},new,,animal,,
elasholan,alone and glad of it {Grammar Updates},new,,pos emotion,,no
elathil,morning glory [ela+thil] {SH},new,,plant,,
elazháadin,to menopause when it’s welcome [zháadin=to menopause ela+zháadin] {orig},orig,,sex,fem,no
eliri,color science,blank,,science,,
elith,psychology [e-=prefix for science of + lith=think] {orig},orig,,science,,
elithá,psychologist [elith=psychology + -á=doer] {new},new,,person,,
elod,science of house management [e-=science of + lod=household] {new},new,,science,,no
elodá,"housewife, househusband [e-=prefix for science of + lod=household + á=suffix for doer] {orig}",orig,,person,,
elosh,"economics [e-=prefix for science of + losh=money, credit] {orig}",orig,,science,,
eloshá,"economist [e-=prefix for science of + losh=money, credit + -á=suffix for doer] {orig}",orig,,person,,
eloth,information science [e-=prefix for science of + loth=information] {orig},orig,,science,,
elothel,memory [eloth=information science e+loth+el] {orig},orig,,,,
eluben,cartography [science of maps],blank,,science,,
em,yes {orig},orig,,grammar,,
emahin,cooking (the science),blank,,"science, food",,
emath,architecture [e-=science of + math=building] {new},new,,science,,
emath,"mother, mama (intimate, informal) (see: mathul, shathul) {orig}",orig,,"person, relationship",,
emathá,architect [emath=architecture + -á-=doer] {new},new,,person,,
emeth,to clown;loan word based on Emmet Kelly’s name {AH},new,,,,
emethá,clown [emeth+á] {AH},new,,person,,
emid,biology [e-=prefix for science of + mid=creature) {orig},orig,,science,,
emina,transportation [e-=prefix for science of + mina=to move] {orig},orig,,science,,
en,to understand {orig},orig,,,,
enal,scientifically {orig},orig,,science,,
enid,brush (not for hair) {orig},orig,,personal action,,no
enoline,angel-science [e-=prefix for science of + noline=angel] {orig},orig,,"science, spirituality",,no
erabalh,temptation {orig},orig,,spirituality,,
erabalhedi,to temptation [erabalh=temptation + -(e)di=goal case marker],blank,,spirituality,,
eri,history [e-=prefix for science of + ri=to keep records] {orig},orig,,science,,
erihá,historian [eri=history + -(h)á=doer] {new},new,,person,,
eril,"earlier, before (in time) {orig}",orig,,time,,
eril,past (Time Auxiliary); a word used to indicate past time [eri=history] {orig},orig,,grammar,,
eríli,"far past, long ago (Time Auxiliary) [eri=history] {orig}",orig,,"time, grammar",,
eróo,agriculture [e-=prefix for science of + róo=harvest] {orig},orig,,science,,
eru,"synergistics, science of synergy [e-=science of + ru=synergy] {new}",new,,science,,
eruhá,synergist [e-=prefix for science of + ru=synergy + -á=suffix for doer] {orig},orig,,person,,
esh,boat {orig},orig,,object,,
esha,“science of harmony”; equivalent to “peacemaking” or “peacekeeping” or “mediation” or “conflict resolution.” [e-=science + sha=harmony],blank,,science,,
eshá,"sailor, boatman, boater [esh=boat + -á=doer] {new}",new,,person,,
eshinehal,computer science [e-=prefix for science of + shinehal=computer],blank,,science,,
eshishid,chemistry,blank,,science,,
eshon,peace-science [e-=prefix for science of + shon=peace] {orig},orig,,science,,
eshoná,diplomat [eshon=peace-science + -á=doer] {new},new,,person,,
eth,to be about (as in “a book about birds”),blank,,grammar,,
etham,geometry [e-=prefix for science of + tham=circle] {orig},orig,,science,,
éthe,"clean, to be clean, to make clean (See also: háawithéthe, huhéthe, mudahéthe, onidahéthe, thóohéthe) {orig}",orig,,,,
éthedal,vacuum cleaner [éthe=clean + dal=thing] {orig},orig,,object,,
éthedale,soap {orig},orig,,object,,
éthehod,washcloth [éthe=clean + od=cloth] {orig},orig,,object,,
ethóo,hospitality [e-=prefix for science of + thóo=guest] {orig},orig,,"relationship, science",,
ewith,anthropology [e-=prefix for science of + with=person] {orig},orig,,science,,
ewithá,anthropologist [e-=prefix for science of + with=person + -á=suffix for doer],blank,,person,,
ewithid,science of males [e-=prefix for science of + with=person + -id=suffix for male] {orig},orig,,science,masc,
ewomil,animal husbandry [e-=prefix for science of + womil=livestock],blank,,science,,
eyon,administration [e-=prefix for science of + yon=government] {orig},orig,,science,,
ezha,snake {orig},orig,,animal,,
ezhab,investigation [e-=prefix for science of + zhab=puzzles] {orig},orig,,science,,
ezhabá,investigator [ezhab=investigation + -á=suffix for doer],blank,,person,,
ezhahith,lightning bolt [ezha=snake + ith=light] {orig},orig,,nature,,
ezhazh,aeronautics [e-=prefix for science of + zhazh=airplanes],blank,,science,,
ezho,acoustics [e-=prefix for science of + zho=sound],blank,,science,,
háalemamid,fawn [háa-=young + lemamid=deer]     {new},new,,animal,,
háami,"thyme, the herb     {SH}",new,,food,,
háamid,"young animal, child creature, general term for offspring [háa-=child + mid=animal] (see ámid, yáamid)",blank,,animal,,no
háanáal,evening [háa=young + náal=night]     {SH},new,,time,,
háasháal,morning [háa=young + sháa=dayl]     {SH},new,,time,,
háawilidunedal,tank (for liquid)     {SH},new,,object,,no
háawith,"child, youth, child person, general term for offspring [háa-=child + with=person] (see áwith, yáawith)     {orig}",orig,,person,,
háawithéthe,"child-clean, the level of cleanliness at which a child considers her room “clean” [háawith=child + éthe=clean] (See also: éthe, huhéthe, mudahéthe, onidahéthe, thóohéthe)     {AB}",new,,,,no
háawithid,boy child [háawith=child + -id= suffix for male]     {orig},orig,,person,masc,
habelid,"to live in, inhabit [belid=house ha+belid]     {orig}",orig,,personal action,,
habo,coat     {orig},orig,,clothes,,
háda,to fall     {Grammar Updates},new,,personal action,,
hadihad,always     {orig},orig,,"time, grammar",,
hahí,to be ephemeral; to be brief (time)     {AB},new,,time,,
hahod,to be in a state of     {orig},orig,,neut emotion,,
hahodib,"deliberately shut off from all feelings, to be in a state of shut off [hahod=state of + -ib=shut off-state of consciousness marker]",blank,,neg emotion,,no
hahodihed,"in shock, numb, to be in a state of numbness [hahod=state of + -ihed=numb-state of consciousness marker]",blank,,neg emotion,,
hahodimi,in bewilderment/astonishment <positive> to be in a state of bewilderment [hahod=state of + -imi=bewilderment-state of consciousness marker],blank,,pos emotion,,no
hahodimilh,in bewilderment/astonishment <negative> to be in a state of bewilderment (negative) [hahod=state of + -imilh=bewilderment (negative)-state of consciousness marker],blank,,neg emotion,,no
hahoditha,"linked empathically with another, to be in a state of linked empathically [hahod=state of + -itha=linked-state of consciousness marker]",blank,,pos emotion,,no
hahodiyon,"ecstasy, to be in a state of ecstasy [hahod=state of + -iyon=ecstasy-state of consciousness marker]",blank,,pos emotion,,
hahodo,"in meditation, to be in a state of meditation [hahod=state of + -o=meditation-state of consciousness marker]",blank,,neut emotion,,
hahodóo,"in hypnotic trance, to be in a state of hypnotic trance [hahod=state of + -óo=hypnotic trance-state of consciousness marker]",blank,,neut emotion,,
hal,"work, to work     {orig}",orig,,personal action,,
halá,worker [hal=work + -á=suffix for doer]     {orig},orig,,person,,
halehadihahal,work which is constantly being interrupted     {Sterling},new,,,,no
halezhub,ant [hal=work + (e)zhub=insect]     {new},new,,animal,,
halid,competition     {orig},orig,,,,
halith,"proposition, argument     {orig}",orig,,,,
ham,"to be present, attend, there is/there are [a. Mary Smith is present. (Or “is here.”) b. Mary Smith will attend the meeting tomorrow. (Or “will be at the meeting tomorrow.”) c. There is a tree beside the church./There are trees beside the church. (A tree is/Trees are present in this scene, beside the church.)]     {orig}",orig,,,,
han,south     {orig},orig,,place,,
Hanesháal,Thursday (South Day) [han=south + (e)sháal=day]     {orig},orig,,time,,
hath,time     {orig},orig,,time,,
hath boó,thrice     {AB&CH},new,,"number, time",,
hath menedebe,often [hath=time + menedebe=many]     {orig},orig,,"number, time",,
hath nede,once     {AB&CH},new,,"number, time",,
hath nedebe,seldom [hath=time + nedebe=few]     {orig},orig,,"number, time",,
hath shin,twice     {AB&CH},new,,"number, time",,
hath waha,anytime [hath=time + waha=any]     {AB},new,,time,,
hath woho,every time     {AB&CH},new,,"number, time",,
hathal,to be good (said of time) [hath+thal]     {orig},orig,,time,,no
hatham,center [tham=circle]     {orig},orig,,place,,
Hathamesháal,Sunday (Center Day) [hatham=center + (e)sháal=day]     {orig},orig,,time,,
hathehath,"forever, time everlasting [hath=time + (e)hath=time]     {orig}",orig,,time,,no
hatheril,"woman-time; marking the passage of time based on interpersonal relationships: births, deaths, relocations, marriages, etc.; “Mary was pregnant with her second when…”, “Just about the time the tribe moved to…” [hath=time + eril=past] (see hatherilid)     {new}",new,,time,fem,no
hatherilid,"man-time; marking the passage of time based on important sporting events, wars, conquests, major disasters; the way time is market in most late 20th century “history” books. [hath=time + eril=past + -id=male] (see hatheril)     {new}",new,,time,masc,no
hathobéeya,until     {Grammar Updates},new,,"time, grammar",,
hathóol,month [hath=time + óol=moon]     {orig},orig,,time,,
háwithá,"baby nurse, nanny [áwith=baby + -á=suffix for doer]     {orig}",orig,,person,,
háya,to be beautiful (said of time) [áya=to be beautiful]     {orig},orig,,,,no
heb,"down, the direction     {orig}",orig,,place,,
hed,glass (for drinking)     {orig},orig,,object,,
héda,"to drop, spill, let fall [héedá=to pick up, lift up]     {orig}",orig,,personal action,,
héeda,"to be sacred, holy     {orig}",orig,,spirituality,,
héedá,"to pick up, lift up [héda=to drop, let fall]     {orig}",orig,,personal action,,
héedan,to translate [dan=language]     {orig},orig,,,,
héedarana,"sacred drink, to drink sacred drink [héeda = sacred + rana = drink]     {new}",new,,spirituality,,no
héena,sibling of the heart [hena=sibling by birth]     {orig},orig,,relationship,,no
héeya,"fear, to fear, to be afraid     {orig}",orig,,neg emotion,,
héeyasholan,alone with terror [héeya+shalon]     {Grammar Updates},new,,neg emotion,,no
hem,underwear     {orig},orig,,clothes,,
hemen,bush,blank,,plant,,
hena,sibling by birth [héena=sibling of the heart]     {orig},orig,,relationship,,no
hene,east     {orig},orig,,place,,
Henesháal,Monday (East Day) [hene=east + sháal=day]     {orig},orig,,time,,
hesh,grass     {orig},orig,,plant,,
heshedon,"rake, to rake [hesh=grass + (e)don=comb]     {SH}",new,,,,
heshehoth,park [hesh=grass + (e)hoth=place]     {orig},orig,,place,,
hesho,"to surpass [used in comparatives], exceed",blank,,,,
heth,dowry     {orig},orig,,,,
heyi,pain     {orig},orig,,neg emotion,,
hezh,lemon [hizh=lime]     {orig},orig,,"food, plant",,
hi,"this, that: Demonstrative pronoun: singular     {orig}",orig,,grammar,,
hib,ovary     {new},new,,sex,fem,
hibid,testicle     {orig},orig,,sex,masc,
hibo,hill [híya=small + bo=mountain]     {orig},orig,,place,,
hibomid,camel [hibo=hill; mid=creature]     {orig},orig,,animal,,
hidel,ham radio [híya=small + del=radio]     {orig},orig,,object,,
hihath,"now, right now, right this instant [hi=this + hath=time]",blank,,time,,
hil,"attention, to pay attention to, to attend     {orig}",orig,,,,
hin,"these, those: Demonstrative pronoun: many",blank,,grammar,,
hinal,"thus [hi=this, that + -nal=suffix for manner]     {orig}",orig,,grammar,,
hinethed,those: Demonstrative pronoun: many [hin=these + (e)thed=far],blank,,grammar,,
hinethoma,these: Demonstrative pronoun: many [hin=these + (e)thoma=near],blank,,grammar,,
hish,snow     {orig},orig,,nature,,
hishud,hail [hish=snow + ud=stone]     {orig},orig,,nature,,
hithed,that: Demonstrative pronoun: singular [hi=this + thed=far],blank,,grammar,,
hithoma,this: Demonstrative pronoun: singular [hi=this + thoma=near],blank,,grammar,,
hiwetha,left (direction) [hi=this + weth=way + a=leftward],blank,,place,,
hiwetho,right (direction) [hi=this + weth=way + o=rightward],blank,,place,,
híya,to be small     {orig},orig,,,,
híyahath,week [híya=small + hath=time]     {orig},orig,,time,,
híyamesh,narrow [híya=small + mesh=across]     {AB},new,,,,
hizh,"these, those: Demonstrative pronoun: several",blank,,grammar,,
hizh,lime [hezh= lemon]     {orig},orig,,"food, plant",,
hizhethed,those: Demonstrative pronoun: several [hizh=these + (e)thed=far],blank,,grammar,,
hizhethoma,these: Demonstrative pronoun: several [hizh=these + (e)thoma=near],blank,,grammar,,
hob,butter     {orig},orig,,food,,
hoberídan,great-aunt [berídan=aunt]     {orig},orig,,relationship,fem,
hod,stomach     {orig},orig,,body,,
hoda,"apology, pardon me, phrase to indicate that you regret whatever it is that you find yourself obliged to do — like interrupting someone (see hóoda)     {orig}",orig,,social,,
hodáath,"bowels [hod=stomach + áath=door], intestines     {orig}",orig,,body,,
hodo,tulip     {orig},orig,,plant,,
hohal,"office, workplace [hal=to work ho+hal]     {orig}",orig,,place,,
hohama,glory,blank,,spirituality,,
hohathad,"all-power, omnipotence (without the feature ‘male’)     {orig}",orig,,spirituality,fem,no
holanemid,wolf (noun) [ho- =grand-; ancestor + lanemid=dog]     {AB},new,,animal,,
hom,nectar     {orig},orig,,food,,
homana,"dessert, nectar food [hom=nectar + ana=food]     {orig}",orig,,food,,
homeyu,nectarine [hom=nectar + yu=fruit]     {orig},orig,,food,,
hon,west     {orig},orig,,place,,
honáal,hours between midnight and dawn     {SH},new,,time,,no
Honesháal,Tuesday (West Day); [hon=west + sháal=day]     {orig},orig,,time,,
hóo,mattress     {orig},orig,,object,,
hóoda,"apology, excuse me, phrase to indicate that you need to leave a particular location (see hoda)     {orig}",orig,,social,,
hoówith,granddaughter [with=person]     {orig},orig,,relationship,fem,
hoówithid,grandson [with=person + -id=suffix for male]     {orig},orig,,relationship,masc,
hosh,feather     {orig},orig,,object,,
hosherídan,great niece [sherídan=niece]     {orig},orig,,relationship,fem,
hoth,place     {orig},orig,,place,,
hoth waha,anywhere [hoth=place + waha=any]     {AB},new,,place,,
hothal,to be good (said of place)     {orig},orig,,place,,no
hothul,grandmother [thul=parent]     {orig},orig,,relationship,fem,
hothulewoth,"“momilies”, some piece of knowledge or lore that has been passed from mother to daughter for at least two generations [hothul=grandmother + woth=wisdom]     {CH}",new,,relationship,fem,no
hóya,to be beautiful (said of place) [áya=to be beautiful]     {orig},orig,,place,,no
hoyo,tail     {SH},new,,body,,
hozhazh,airport [zhazh=airplane]     {orig},orig,,place,,
hu,"ruler, boss     {orig}",orig,,person,,
hubod,edge (sharp) [hum=knife + bod=line]     {SH},new,,,,
huhéthe,"boss-clean, probably the highest level of cleaning you would need [hu=boss + (h)éthe] (See also: éthe, háawithéthe, mudahéthe, onidahéthe, thóohéthe)     {CH}",new,,,,no
huhid,king [hu=ruler + -(h)id=male]     {orig},orig,,person,masc,
hulehul,"for sure (an emphatic, strong positive) [-hul=suffix denoting to an extreme degree]     {orig}",orig,,"social, grammar",,
hum,knife     {orig},orig,,object,,
huma,to be sharp     {SH},new,,,,
humazho,"whistle, to whistle [huma=sharp + zho=sound]     {new}",new,,personal action,,
humazhomid,guinea pig [humazho=whistle + mid=creature]     {SH},new,,animal,,
humesh,to cut [hum=knife + mesh=across]     {SH},new,,personal action,,
hun,north     {orig},orig,,place,,
Hunesháal,Wednesday (North Day) [hun=north + sháal=day]     {orig},orig,,time,,
husháana,"to menstruate painfully, menstruation [osháana=to menstruate]     {orig}",orig,,sex,fem,no
huthil,kudzu [hu=ruler + thil=vine]     {SH},new,,plant,,
húumid,owl húu (onomatopoeia) [mid=creature]     {orig},orig,,animal,,
i,and     {orig},orig,,grammar,,
ib,against     {orig},orig,,grammar,,
ib,crime     {orig},orig,,,,
ibádi,to accuse [ib =crime + -á =doer + di =speak]     {AB},new,,personal action,,
ibálh,criminal [ib=crime + -á=suffix for doer + lh =negative connotation]     {orig},orig,,person,,
ibath,to scratch [not said of scratching an itch] [ib=against + bath=fingernail]     {SH},new,,personal action,,
ibáyóodi,to confess (literally: to accuse oneself) [ib=crime + -á=doer + -yóo- =reflexive(-self) + di=speak]     {AB},new,,personal action,,
ibo,"to exhaust oneself, exhaustion     {orig}",orig,,neut emotion,,
ibolh,"to exhaust with negative connotation, exhaustion     {orig}",orig,,neg emotion,,no
iboshara,burnout [ibo+shara]     {DK},new,,neg emotion,,
iboth,scratch (noun)     {SH},new,,,,
id,and then     {orig},orig,,grammar,,
idon,brush (for hair)     {orig},orig,,object,,
ihé,"before (in space), in front of [ihée=after]     {orig}",orig,,"place, grammar",,
ihée,"after (in space), behind [ihé=before]     {orig}",orig,,"place, grammar",,
íi,also,blank,,grammar,,
íizha,although     {orig},orig,,grammar,,
il,"to see, to watch, to look at, to pay attention to, to observe. Active seeing, which includes looking, watching, observing, and paying active attention to something visually. “I am watching you.” (see lAad oyinan, passive seeing)     {orig}",orig,,personal action,,
ilá,spectator [il=pay attention + -á=doer]     {AB},new,,person,,
ílhi,disgust [lh=negative connotation]     {orig},orig,,neg emotion,,
ílhilh,"disgust with pejorative overtones, disgust and disapproval [lh=negative connotation]     {orig}",orig,,neg emotion,,no
ili,water     {orig},orig,,nature,,
ilihede,rice [ili=water + ede=grain]     {orig},orig,,food,,
ilimeda,lettuce [ili=water + meda=vegetable]     {orig},orig,,food,,
ilisháad,"swim, to swim [ili=water + sháad=to come, to go]     {new}",new,,personal action,,
iliwush,mop [ili=water + wush=broom]     {orig},orig,,object,,
iliyeb,urine [ili+yeb]     {JP},new,,body,,
ilu,hose (for liquids)     {Grammar Updates},new,,object,,
iluli,blood vessel     {SH},new,,body,,
im,to travel     {orig},orig,,personal action,,
imedim,suitcase [im=travel + (e)dim=container],blank,,object,,
in,to exist     {orig},orig,,,,
ina,"sleep, to sleep (synonym:áana)     {orig}",orig,,personal action,,
inad,"trousers, pants     {orig}",orig,,clothes,,
ishid,"digit (fingers, toes)     {orig}",orig,,body,,
ishida,"gloves, mittens, socks, stockings [ishid=digit (finger, toe) ishid+a]     {orig}",orig,,clothes,,
ishidi,to chatter [ishish+di]     {new},new,,personal action,,
ishish,to fidget     {new},new,,personal action,,
ith,light     {orig},orig,,object,,
ithedal,"lamp, light, light making object [ith=light + dal=thing]     {orig}",orig,,object,,
íthi,"to be high, tall     {orig}",orig,,,,
izh,but     {orig},orig,,grammar,,
la,I: pronoun: 1st person: singular: beloved,blank,,grammar,,
láa,perception [láad=to perceive]     {orig},orig,,sense,,
láad,to perceive [láa=perception]     {orig},orig,,sense,,
láad óoyonan,"to perceive with the mouth, to taste. Passive tasting. “The dinner tastes good to me.” (see lóoyo, active taste)     {Grammar Updates}",new,,sense,,
láad oyanan,"to perceive with the skin, to feel something on your skin, touch. Passive feeling. “The silk feels good to me.” (see dama, active touch)     {Grammar Updates}",new,,sense,,
láad oyinan,"to perceive with the eyes, to see, to look. Passive seeing. “I see the flower.” (see il, active seeing)     {Grammar Updates}",new,,sense,,
láad oyonan,"to perceive with the nose, to smell. Passive smelling. “The candle smells good to me.” (see shu, active smell)     {Grammar Updates}",new,,sense,,
láad oyunan,"to perceive with the ears, to hear. Passive hearing. “The band sounds good to me.” (see ma, active listen)     {Grammar Updates}",new,,sense,,
láadá,"perceiver, the one who perceives [láa=perception]     {orig}",orig,,person,,
Láadan,[perception language],blank,,,,
láadom,to recognize [láa=perception + dom=remember]     {SH},new,,,,
láahomá,perception teacher [láa=perception + (h)omá=teacher]     {new},new,,person,,no
láashod,"meditation room, perception room, room where one goes to meditate and attain new perceptions of the world and themselves [láa=perception + shod=room]     {new}",new,,place,,no
ladinime,"to interact, interacting     {Grammar Updates}",new,,relationship,,
laheb,spice     {orig},orig,,food,,
Lahila,"Holy-One, Deity     {orig}",orig,,spirituality,,
lal,milk     {orig},orig,,food,,
lalal,mother’s milk     {orig},orig,,food,fem,
lalen,guitar     {orig},orig,,object,,
lalewida,to be pregnant joyfully [lawida=to be pregnant]     {orig},orig,,sex,fem,no
lali,"rain, to rain [ili=water]     {orig}",orig,,nature,,
lalidáan,poem [lali+dáan]     {Grammar Updates},new,,,,
lalidáaná,poet [lalidáan+á],blank,,person,,
lalilom,sound of rain on the roof [lali=rain + lom=song]     {Grammar Updates},new,,"nature, sense",,no
lalimilom,sound of rain on leaves [lali=rain + mi=leaf + lom=song],blank,,"nature, sense",,no
lalom,to sing     {Grammar Updates},new,,personal action,,
lam,"health, to be healthy     {orig}",orig,,,,
lámáhel,"to sculpt, carve [lámá+el]     {Grammar Updates}",new,,health,,
lámála,"to caress, stroke     {orig}",orig,,personal action,,
lami,"number, numeral     {new}",new,,number,,
lamith,to count     {new},new,,number,,
lamithá,accountant [lamith=to count + -á=doer]     {new},new,,person,,
lan,we: pronoun: 1st person: many: beloved,blank,,grammar,,
lan,friend     {orig},orig,,relationship,,
lanemid,dog [lan=friend + mid=creature]     {orig},orig,,animal,,
lash,indifference     {orig},orig,,neut emotion,,
lath,to be celibate by choice     {orig},orig,,sex,,no
lawida,to be pregnant     {orig},orig,,sex,fem,
lawith,saint [Lahila=Holy-One + with=person]     {orig},orig,,spirituality,,
laya,to be red     {orig},orig,,color,,
layun,to be orange     {orig},orig,,color,,
lazh,we: pronoun: 1st person: several: beloved,blank,,grammar,,
le,I: pronoun: 1st person: singular: neutral,blank,,grammar,,
leb,enemy     {orig},orig,,person,,
led,harmony in the home     {new},new,,"relationship, pos emotion",,no
léeli,"jonquil, daffodil, narcissus     {orig}",orig,,plant,,
lehina,"lilac (the flower, bush)     {orig}",orig,,plant,,
lel,seaweed     {orig},orig,,plant,,
léli,to be yellow     {orig},orig,,color,,
lelith,algae     {SH},new,,plant,,
lema,to be gentle     {orig},orig,,,,
lemadama,to cuddle [lema=gentle + dama=touch]     {Grammar Updates: AH},new,,personal action,,
lemamid,deer [lema=gentle + mid=creature]     {Grammar Updates},new,,animal,,
lemamidid,"stag, male deer [lema=gentle + mid=creature + -id=male]",blank,,animal,masc,
len,we: pronoun: 1st person: many: neutral,blank,,grammar,,
lenedi,"to us [len=1st person, many neutral + -(e)di=goal case marker]",blank,,grammar,,
leneth,"us (many): pronoun. 1st person, many, neutral, object [len=1st person, many neutral + -(e)th=object case marker]",blank,,grammar,,
lenetha,"our (by reason of birth) [len=we-many + -(e)tha=posessive suffix, by reason of birth]",blank,,"grammar, relationship",,
lenetho,"our [len=we-many + -(e)tho=posessive suffix, other]",blank,,"grammar, relationship",,
lenethoth,"our (other, object) [len=1st person, many neutral + -(e)tho=possessive (other) + -th=object case marker]",blank,,"grammar, relationship",,
leth,"me: pronoun, 1st person, singular, neutral, object [le=I + -th=object marker]",blank,,grammar,,
lewidan,to be pregnant for the first time [lawida=to be pregnant]     {orig},orig,,sex,fem,no
leyan,to be brown     {orig},orig,,color,,
leyi,to be blue     {orig},orig,,color,,
leyidalatham,blueberry [leyi=blue + dala=plant + tham=circle],blank,,food,,
leyóo,"myself: 1st person, singular, neutral, reflexive pronoun",blank,,grammar,,
leyóon,"ourselves: 1st person, many, neutral, reflexive pronoun",blank,,grammar,,
leyóozh,"ourselves: 1st person, several, neutral, reflexive pronoun",blank,,grammar,,
lezh,"we: pronoun: 1st person, several, neutral",blank,,grammar,,
li,"I: pronoun, 1st person, singular, honored",blank,,grammar,,
líithi,to be white     {orig},orig,,color,,
líithin,to be gray     {orig},orig,,color,,
lila,to female-sexual-act     {orig},orig,,sex,fem,no
lilahá,lover (female only – not used to refer to males) [lila=to female sexual act + -á=suffix for doer]     {orig},orig,,sex,fem,no
lilathun,massage (noun and verb)     {CF},new,,personal action,,
lili,to be wet [lil=water]     {orig},orig,,nature,,
liliháaláa,labia majora & minora [lili+áalaá]     {JP},new,,sex,fem,no
limlim,bell [onomatopoeia]     {orig},orig,,object,,
lin,"we: pronoun, 1st person, many, honored",blank,,grammar,,
liri,"to be colored, to have color     {orig}",orig,,color,,
lish,to lightning     {orig},orig,,nature,,
lishenal,vividly [lishe+nal],blank,,,,
lishid,to sign (as in ASL)     {orig},orig,,personal action,,
lishidá,signer (as in ASL) [lishid=to sign + -á-suffix for doer]     {orig},orig,,person,,
lith,"a thought, to think     {orig}",orig,,,,
lithewil,hypothesis [lith=to think + Wil…=let there be]     {orig},orig,,science,,
liyen,to be green     {orig},orig,,color,,
lizh,"we: pronoun, 1st person, several, honored",blank,,grammar,,
lo,to rejoice     {orig},orig,,spirituality,,
lob,"to fill, fill up     {orig}",orig,,,,
lod,household     {orig},orig,,place,,
